Название пары,Дата сделки,Стратегия сделки,Цена сделки
SHIB1000USDT,2023-01-29 02:07:25,Close Short,1400
SHIB1000USDT,2023-01-29 01:02:15,Close Long,1400
SHIB1000USDT,2023-01-28 16:17:15,Close Long,1400
SHIB1000USDT,2023-01-28 12:19:07,Close Short,2940
DOGEUSDT,2023-01-28 07:32:06,Close Short,545
DOGEUSDT,2023-01-27 15:42:08,Close Long,165
SHIB1000USDT,2023-01-27 14:53:02,Close Long,1400
SHIB1000USDT,2023-01-27 13:32:09,Close Long,1400
SHIB1000USDT,2023-01-27 13:24:56,Close Short,840
SHIB1000USDT,2023-01-27 13:24:21,Close Short,560
SHIB1000USDT,2023-01-27 12:13:29,Close Long,1400
DOGEUSDT,2023-01-27 00:19:35,Close Short,165
SHIB1000USDT,2023-01-27 00:08:01,Close Long,1400
DOGEUSDT,2023-01-26 23:56:20,Close Long,165
DOGEUSDT,2023-01-26 21:13:14,Close Short,165
DOGEUSDT,2023-01-26 20:12:07,Close Long,165
DOGEUSDT,2023-01-26 15:39:39,Close Short,165
SHIB1000USDT,2023-01-26 14:52:47,Close Long,1400
SHIB1000USDT,2023-01-26 14:44:11,Close Short,1400
DOGEUSDT,2023-01-26 14:44:10,Close Short,165
DOGEUSDT,2023-01-26 14:29:21,Close Long,165
SHIB1000USDT,2023-01-26 13:52:11,Close Long,830
SHIB1000USDT,2023-01-26 13:51:05,Close Long,30
SHIB1000USDT,2023-01-26 13:51:05,Close Long,490
SHIB1000USDT,2023-01-26 13:51:04,Close Long,50
DOGEUSDT,2023-01-26 06:22:59,Close Short,165
SHIB1000USDT,2023-01-26 06:22:56,Close Short,1400
SHIB1000USDT,2023-01-26 04:42:28,Close Long,1400
DOGEUSDT,2023-01-26 04:16:51,Close Long,165
SHIB1000USDT,2023-01-26 03:47:50,Close Short,1400
DOGEUSDT,2023-01-26 01:27:48,Close Short,165
DOGEUSDT,2023-01-25 23:22:02,Close Long,165
SHIB1000USDT,2023-01-25 22:59:44,Close Long,1400
DOGEUSDT,2023-01-25 22:48:27,Close Short,165
SHIB1000USDT,2023-01-25 22:10:16,Close Short,1400
SHIB1000USDT,2023-01-25 21:36:19,Close Long,4630
DOGEUSDT,2023-01-25 21:08:29,Close Long,165
DOGEUSDT,2023-01-25 21:07:25,Close Short,165
DOGEUSDT,2023-01-25 20:02:35,Close Long,545
BNBUSDT,2023-01-24 22:26:57,Close Short,0.16
LINKUSDT,2023-01-24 22:26:47,Close Short,6.8
SHIB1000USDT,2023-01-24 09:04:28,Close Short,1400
DOGEUSDT,2023-01-24 09:04:27,Close Short,165
SHIB1000USDT,2023-01-24 02:16:05,Close Long,1400
DOGEUSDT,2023-01-24 00:49:41,Close Short,165
DOGEUSDT,2023-01-24 00:24:34,Close Long,165
DOGEUSDT,2023-01-24 00:07:10,Close Short,165
SHIB1000USDT,2023-01-23 23:18:02,Close Short,1400
DOGEUSDT,2023-01-23 21:20:56,Close Long,165
SHIB1000USDT,2023-01-23 20:43:03,Close Long,1400
DOGEUSDT,2023-01-23 19:38:02,Close Short,165
SHIB1000USDT,2023-01-23 19:28:46,Close Short,1400
SHIB1000USDT,2023-01-23 17:56:39,Close Long,1400
DOGEUSDT,2023-01-23 15:13:44,Close Long,165
SHIB1000USDT,2023-01-23 14:57:48,Close Short,1400
DOGEUSDT,2023-01-23 14:50:51,Close Long,165
SHIB1000USDT,2023-01-23 14:49:35,Close Long,1400
SHIB1000USDT,2023-01-23 13:57:23,Close Long,1400
SHIB1000USDT,2023-01-23 13:51:45,Close Short,1400
DOGEUSDT,2023-01-23 13:40:13,Close Short,165
DOGEUSDT,2023-01-23 00:26:27,Close Long,346
SHIB1000USDT,2023-01-22 23:32:07,Close Long,2940
SHIB1000USDT,2023-01-22 19:39:31,Close Long,1400
DOGEUSDT,2023-01-22 19:14:53,Close Short,346
SHIB1000USDT,2023-01-22 19:07:35,Close Short,1400
SHIB1000USDT,2023-01-22 16:37:17,Close Short,1400
SHIB1000USDT,2023-01-22 16:24:13,Close Long,1400
DOGEUSDT,2023-01-22 16:08:59,Close Long,165
DOGEUSDT,2023-01-22 15:22:27,Close Short,165
SHIB1000USDT,2023-01-22 15:05:43,Close Long,1400
DOGEUSDT,2023-01-22 14:24:13,Close Long,165
DOGEUSDT,2023-01-21 22:25:13,Close Short,165
SHIB1000USDT,2023-01-21 22:01:31,Close Long,1400
SHIB1000USDT,2023-01-21 20:20:06,Close Short,1400
DOGEUSDT,2023-01-21 19:00:29,Close Long,165
SHIB1000USDT,2023-01-21 18:45:43,Close Long,1400
SHIB1000USDT,2023-01-21 16:59:20,Close Short,1400
DOGEUSDT,2023-01-21 16:35:37,Close Long,165
SHIB1000USDT,2023-01-21 15:58:14,Close Short,1400
DOGEUSDT,2023-01-21 15:56:42,Close Short,165
SHIB1000USDT,2023-01-21 15:17:43,Close Long,1400
DOGEUSDT,2023-01-21 14:36:29,Close Long,165
DOGEUSDT,2023-01-21 13:23:09,Close Short,165
SHIB1000USDT,2023-01-21 13:12:55,Close Short,1400
SHIB1000USDT,2023-01-21 12:36:06,Close Short,1400
SHIB1000USDT,2023-01-21 12:08:16,Close Long,1400
DOGEUSDT,2023-01-21 11:45:17,Close Long,165
DOGEUSDT,2023-01-21 10:28:04,Close Long,165
SHIB1000USDT,2023-01-21 10:28:02,Close Long,1400
DOGEUSDT,2023-01-21 10:26:40,Close Short,545
SHIB1000USDT,2023-01-21 10:26:29,Close Short,1400
SHIB1000USDT,2023-01-21 04:20:17,Close Long,1400
SHIB1000USDT,2023-01-21 00:13:43,Close Long,1400
SHIB1000USDT,2023-01-21 00:12:13,Close Short,2940
